Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
sdo	UGB06864.1|GH1	100.0	470	0	0	1	470	1	470	0.0	989
enem	WDI34681.1|GH1	100.0	477	0	0	1	477	1	477	0.0	988
eet	WDI36181.1|GH1	100.0	477	0	0	1	477	1	477	0.0	996
bay	AZJ45093.1|GH1	100.0	466	0	0	1	466	1	466	0.0	975
baq	CCF04704.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
bya	QOE05306.1|GH1	100.0	466	0	0	1	466	1	466	0.0	972
bqy	QOE05306.1|GH1	100.0	466	0	0	1	466	1	466	0.0	972
bamp	AFZ90268.1|GH1	100.0	466	0	0	1	466	1	466	0.0	973
baml	CCP21171.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
bama	CDG29140.1|GH1	100.0	466	0	0	1	466	1	466	0.0	973
bamn	CDG25449.1|GH1	100.0	466	0	0	1	466	1	466	0.0	972
bamb	AIU81341.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
bamt	AZJ45093.1|GH1	100.0	466	0	0	1	466	1	466	0.0	975
bamy	AHZ15186.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
bmp	AIU81341.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
bao	AEB24384.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
baz	AEB24384.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
bql	AEB24384.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
bxh	AEB24384.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
bami	CCF04704.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
bamc	AZJ45093.1|GH1	100.0	466	0	0	1	466	1	466	0.0	975
bamf	CCF04704.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
bsia	AME05669.1|GH1	100.0	466	0	0	1	466	1	466	0.0	975
bvm	QFS24232.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
bacp	AWX71654.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
bacb	AJE78252.1|GH1	100.0	466	0	0	1	466	1	466	0.0	971
bacs	AME05669.1|GH1	100.0	466	0	0	1	466	1	466	0.0	975
bafc	UHC65366.1|GH1	100.0	466	0	0	1	466	1	466	0.0	972
tap	AIF67338.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
sau	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sav	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
saw	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sah	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
saj	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sam	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sas	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sar	AIW27878.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sac	AAW37056.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sax	QBC24646.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
saa	QBC24646.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sao	QBC24646.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sae	QBC24646.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sad	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
suu	AEV79149.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
suv	QBC24646.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sue	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
suj	ADL24022.1|GH1	100.0	470	0	0	1	470	1	470	0.0	984
suk	QBC24646.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
suc	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sut	QBC24646.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
suq	AIW27878.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
suz	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sud	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sux	AIA00015.1|GH1	100.0	470	0	0	1	470	1	470	0.0	985
suw	QBC24646.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sug	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
suf	VDZ12913.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
saua	AIW27878.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
saue	AGU55790.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
saun	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
saus	AEV79149.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sauu	AEV79149.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
saug	AEV79149.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sauz	QBC24646.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
saut	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sauj	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sauk	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sauq	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sauv	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sauw	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
saux	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sauy	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sauf	AAW37056.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sab	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
suy	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
saub	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
saum	QBC24646.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sauc	AIA00015.1|GH1	100.0	470	0	0	1	470	1	470	0.0	985
saur	QBC24646.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
saui	QBC24646.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
saud	AMG41918.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
sams	AEV79149.1|GH1	100.0	470	0	0	1	470	1	470	0.0	986
suh	CCE59849.1|GH1	100.0	470	0	0	1	470	1	470	0.0	985
ser	QDA67844.1|GH1	100.0	470	0	0	1	470	1	470	0.0	984
sep	QDA67844.1|GH1	100.0	470	0	0	1	470	1	470	0.0	984
sepp	CDM14326.1|GH1	100.0	470	0	0	1	470	1	470	0.0	984
seps	AIR82288.1|GH1	100.0	470	0	0	1	470	1	470	0.0	984
sha	XOW50163.1|GH1	100.0	469	0	0	1	469	2	470	0.0	981
shh	XOW50163.1|GH1	100.0	469	0	0	1	469	2	470	0.0	981
sca	CAL27580.1|GH1	100.0	485	0	0	1	485	1	485	0.0	1005
slg	AMG63675.2|GH1	100.0	469	0	0	1	469	2	470	0.0	979
sln	AMG63675.2|GH1	100.0	469	0	0	1	469	2	470	0.0	979
ssd	ADV06381.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
sdt	QIW08467.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
swa	AGC90030.1|GH1	100.0	470	0	0	1	470	1	470	0.0	989
spas	UGB06864.1|GH1	100.0	470	0	0	1	470	1	470	0.0	989
shu	XHP49383.1|GH1	100.0	467	0	0	1	467	1	467	0.0	983
scap	XCW19507.1|GH1	100.0	470	0	0	1	470	1	470	0.0	985
ssch	AKS67166.1|GH1	100.0	470	0	0	1	470	1	470	0.0	973
sscz	AKS73704.1|GH1	100.0	470	0	0	1	470	1	470	0.0	973
sagq	QIN24794.1|GH1	100.0	467	0	0	1	467	1	467	0.0	981
ssif	AVI00619.1|GH1	100.0	424	0	0	1	424	1	424	0.0	863
scv	VEG64797.1|GH1	100.0	468	0	0	1	468	1	468	0.0	972
spet	ASE36647.1|GH1	100.0	469	0	0	1	469	1	469	0.0	987
slz	ARJ50340.1|GH1	100.0	467	0	0	1	467	1	467	0.0	977
sfq	AVP36551.1|GH1	100.0	467	0	0	1	467	1	467	0.0	982
shom	AYY66810.1|GH1	100.0	470	0	0	1	470	1	470	0.0	981
scar	QDW93383.1|GH1	100.0	470	0	0	1	470	1	470	0.0	983
schr	XPV31896.1|GH1	100.0	467	0	0	1	467	1	467	0.0	982
spic	SNV06486.1|GH1	100.0	468	0	0	1	468	1	468	0.0	970
ssh	VEE66638.1|GH1	100.0	470	0	0	1	470	1	470	0.0	984
ssim	SNV78175.1|GH1	100.0	470	0	0	1	470	1	470	0.0	987
sdb	AYU54833.1|GH1	100.0	468	0	0	1	468	1	468	0.0	971
saul	SQJ09832.1|GH1	100.0	470	0	0	1	470	1	470	0.0	976
srai	UEX90630.1|GH1	100.0	467	0	0	1	467	1	467	0.0	982
stas	UDI79264.1|GH1	100.0	470	0	0	1	470	1	470	0.0	983
sdev	WKU14470.1|GH1	100.0	470	0	0	1	470	1	470	0.0	983
srot	UMT80233.1|GH1	100.0	470	0	0	1	470	1	470	0.0	987
sscu	ASE34217.1|GH1	100.0	471	0	0	1	471	1	471	0.0	972
mlen	XRY56100.1|GH1	100.0	467	0	0	1	467	1	467	0.0	980
mary	UBH21774.1|GH1	100.0	467	0	0	1	467	1	467	0.0	983
manm	XNZ47413.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
mboe	WZE72471.1|GH1	100.0	467	0	0	1	467	1	467	0.0	982
eat	ACQ69978.1|GH1	100.0	474	0	0	1	474	1	474	0.0	978
emm	WDH75308.1|GH1	100.0	474	0	0	1	474	1	474	0.0	974
lld	AWJ95659.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
llc	UHU66377.1|GH1	100.0	468	0	0	1	468	1	468	0.0	988
llr	QEX50165.1|GH1	100.0	468	0	0	1	468	1	468	0.0	987
lli	QRZ31098.1|GH1	100.0	468	0	0	1	468	1	468	0.0	988
spy	AFV38743.1|GH1	100.0	468	0	0	1	468	1	468	0.0	981
spz	AAZ52250.1|GH1	100.0	477	0	0	1	477	1	477	0.0	1000
spym	BAM29641.1|GH1	100.0	482	0	0	1	482	1	482	0.0	1009
spya	AFV38743.1|GH1	100.0	468	0	0	1	468	1	468	0.0	981
spm	CBG21056.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
spg	SQF37409.1|GH1	100.0	468	0	0	1	468	1	468	0.0	980
sps	SQF37409.1|GH1	100.0	468	0	0	1	468	1	468	0.0	980
sph	ABF34766.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
spi	ABF38679.1|GH1	100.0	482	0	0	1	482	1	482	0.0	1009
spj	ABF32822.1|GH1	100.0	468	0	0	1	468	1	468	0.0	981
spk	ABF32822.1|GH1	100.0	468	0	0	1	468	1	468	0.0	981
spf	CAM30928.1|GH1	100.0	468	0	0	1	468	1	468	0.0	981
spa	BAR45152.1|GH1	100.0	468	0	0	1	468	1	468	0.0	981
spb	AKL63807.1|GH1	100.0	468	0	0	1	468	1	468	0.0	980
stg	SQH11113.1|GH1	100.0	468	0	0	1	468	1	468	0.0	980
stx	SQH11113.1|GH1	100.0	468	0	0	1	468	1	468	0.0	980
soz	ACI61842.1|GH1	100.0	477	0	0	1	477	1	477	0.0	1000
stz	AMY98165.1|GH1	100.0	468	0	0	1	468	1	468	0.0	977
spyh	QCK73158.1|GH1	100.0	468	0	0	1	468	1	468	0.0	979
spyo	QCK32774.1|GH1	100.0	468	0	0	1	468	1	468	0.0	981
spn	AUF84342.1|GH1	100.0	470	0	0	1	470	1	470	0.0	972
spn_1	CBG21012.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
spd	QEL27831.1|GH1	100.0	470	0	0	1	470	1	470	0.0	971
spd_1	QBK29027.1|GH1	100.0	468	0	0	1	468	1	468	0.0	986
spr	QEL27831.1|GH1	100.0	470	0	0	1	470	1	470	0.0	971
spr_1	QBK29027.1|GH1	100.0	468	0	0	1	468	1	468	0.0	986
spw	ACB90364.1|GH1	100.0	471	0	0	1	471	1	471	0.0	989
sjj	VFH73154.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
snv	ACO17169.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
spx	ACF55638.1|GH1	100.0	470	0	0	1	470	1	470	0.0	973
spx_1	ACF55578.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
snt	APJ34000.1|GH1	100.0	470	0	0	1	470	1	470	0.0	969
snt_1	ACO23459.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
snd	APJ34000.1|GH1	100.0	470	0	0	1	470	1	470	0.0	969
snd_1	ACO23459.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
spnn	APJ34000.1|GH1	100.0	470	0	0	1	470	1	470	0.0	969
spnn_1	ACO23459.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
sne	AVD75031.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
spv	ARD36354.1|GH1	100.0	470	0	0	1	470	1	470	0.0	972
spv_1	VFI06535.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
snc	APJ34000.1|GH1	100.0	470	0	0	1	470	1	470	0.0	969
snc_1	ACO23459.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
snm	ACO16954.1|GH1	100.0	470	0	0	1	470	1	470	0.0	973
snm_1	ACO17169.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
spp	AFS42586.1|GH1	100.0	470	0	0	1	470	1	470	0.0	972
